pheno	h2(add)	h2(add)_se	h2(dom)	h2(dom)_se	h2(AD)	h2(AD)_se	h2(add)_sig	h2(dom)_sig	h2(AD)_sig	h2(het)	h2(het)_se	h2(hom)	h2(hom)_se	Cov(hh)	Cov(hh)_se	hom/het	hom/het_se	h2(FACTOR)	h2(FACTOR)_se	h2(het)_sig	h2(hom)_sig	h2(FACTOR)_sig	Cov(hh)_sig	hom/het_sig
Forced_expiratory_volume_in_1-second__FEV1_	0.20041062561637527	0.01086507793396493	0.013395991213235021	0.012883821676743094	0.21380661682961027	0.014667904133568613	True	False	True	0.10932504584265233	0.013089262450975766	0.1624999350102519	0.018241309863748813	0.33075575706099486	0.05501404823507299	1.4863925622691465	0.2753347035115579	0.27182498085290424	0.01931375816733017	True	True	True	True	True
Trunk_fat_mass	0.1935748560637528	0.010253199927431277	-0.015857813475483262	0.012278914191137691	0.17771704258826954	0.014147831716147436	True	False	True	0.0698239026245021	0.012475767463493038	0.16720886111114522	0.01683603795085215	0.49719376088344164	0.07739802584241497	2.3947223633482424	0.5359143530857912	0.2370327637356473	0.01858692693636738	True	True	True	True	True
Creatinine__enzymatic__in_urine	0.02324688733289645	0.010966516858072001	0.0036533305086732196	0.012668737419417174	0.026900217841569672	0.016505295937832332	True	False	False	0.015381011374206825	0.014014360850881445	0.02579828723548191	0.020830135052999996	0.2870970666140928	0.34940450880935237	1.6772815914267074	2.082721578051637	0.04117929860968873	0.024628932822898617	False	False	False	True	False
Leg_fat-free_mass__left_	0.24767924237854608	0.011271574977997686	-0.11925171515349775	0.012469396222374139	0.12842752722504833	0.015039910139848256	True	True	True	0.08803315543918101	0.012616133589658953	0.19523901375936736	0.016791286933880052	0.4393941460878758	0.06137277690279658	2.217789567866292	0.4121232247445773	0.28327216919854836	0.018103447700760698	True	True	True	True	True
Lipoprotein_A	0.26061119599219007	0.015091405330891832	-0.22339060408711062	0.0177337804946535	0.03722059190507945	0.021397001599256116	True	True	False	0.17095142909550165	0.014946835262393383	0.1425478669642517	0.02131649378413819	-0.02154455721742452	0.0394162203829464	0.8338501041989982	0.16489568577498384	0.31349929605975335	0.021355560679137745	True	True	True	True	True
Mean_platelet__thrombocyte__volume	0.3330066050727127	0.010730118511904457	-0.011798564874184705	0.0126463571626627	0.321208040198528	0.013028617774869201	True	False	True	0.11245994975872203	0.012037554063393493	0.25722159382097376	0.015733687065909514	0.508829234413228	0.05013036077139034	2.2872284255224336	0.3206034876717805	0.3696815435796958	0.01624035695992845	True	True	True	True	True
Phosphate	0.08343367530926861	0.012505067216115025	-0.08501643929534806	0.012989003396202747	-0.0015827639860794551	0.017956431642627658	True	True	False	0.061988937373992345	0.015289419000145694	0.05380658147928603	0.022837741743046154	-0.6528694529397477	0.18779579486408393	0.8680029656688509	0.4497601561623535	0.11579551885327838	0.02576058406101217	True	True	True	True	True
Waist_circumference	0.14906659597305516	0.010263762520725297	-0.012500750665600368	0.012059722402537547	0.1365658453074548	0.014481168222812313	True	False	True	0.03351459201437616	0.012986464215096888	0.12826255985172355	0.018132625146998652	0.751626001757922	0.18644553077417736	3.8270661267994854	1.6488828163852498	0.1617771518660997	0.020756203750891187	True	True	True	False	False
Apolipoprotein_B	0.0916867474319788	0.011237050109050874	-0.060014066028567264	0.012873979333643313	0.031672681403411534	0.016617081197345854	True	True	False	0.06499873821003432	0.012806102720126163	0.09789659315509659	0.018206563921319023	0.09254816963666374	0.07205512508082165	1.506130670394823	0.4404767044217073	0.1628953313651309	0.02045282886318651	True	True	True	True	True
Mean_reticulocyte_volume	0.1887206123005104	0.01049091844594863	-0.03123081003746261	0.012996154493822066	0.1574898022630478	0.014861791131215805	True	True	True	0.0592942932178644	0.012457064812042345	0.16941912673189996	0.016983634755274885	0.2983558723175624	0.06774021225439426	2.8572585579088536	0.7172537797021526	0.22871341994976435	0.01883963883215457	True	True	True	True	False
